Gene,Class,MAC phenotype,OMIM,Inheritance,Syndrome/associated phenotype -*,Reference,,
MAB21L2,syndromic,"Anophthalmia, microphthalmia, Coloboma of iris and retina",604357,AD AR,skeletal dysplasia,"Rainger et al., 2014",,
MITF,syndromic,"Microphthalmia, coloboma",156845,AR,COMMAD syndrome,"George et al., 2016",,
MKS1,syndromic,"Microphthalmia, coloboma of iris",609883,AR,Meckel-Gruber syndrome,"Slaats et al., 2016",,
MSX2,syndromic,"Coloboma of iris, retina and choroid",123101,de novoduplication,"Craniosynostosis 2, Parietal foramina 1","Plaisancie et al., 2015",,
OTX2,syndromic,Microphthalmia,600037,AD,"Retinal dystrophy, early-onset, with or without pituitary dysfunction","Ragge et al., 2005a",,
PACS1,syndromic,Coloboma of iris and optic nerve,615009,de novo(c.607C>T),Schuurs-Hoeijmakers syndrome,"Pefkianaki et al., 2018",,
PAX2,syndromic,Coloboma of optic nerve,167409,AD,Papillorenal Syndrome,"Sanyanusin et al., 1995",,
PDE6D,syndromic,Coloboma of optic nerve,602676,AR,Joubert syndrome 22,"Thomas et al., 2014",,
PIGL,syndromic,Coloboma of retina and choroid,605947,AR,CHIME syndrome,"Ng et al., 2012",,
PITX2,syndromic,"Microphthalmia, coloboma of iris",601542,AD,"Rieger syndrome, type1","Ozeki et al., 1999",,
POMT1,syndromic,"Microphthalmia, coloboma",607423,AR,W alker-W arburg syndrome,"Beltran-Valero de Bernabe et al., 2002",,
PQBP1,syndromic,"Coloboma of retina, choroid and optic disc",300463,XL Recessive,Renpenning syndrome,"Martinez-Garay et al., 2007",,
PRR12,syndromic,Coloboma of iris.,616633,de novo(LOF),,"Leduc et al., 2018",,
PTCH1,syndromic,Coloboma of iris,601309,AD/Sporadic,"Holoprosencephaly, Basal cell nevus syndrome","Chassaing et al., 2016",,
PTPN11,syndromic,"Coloboma of iris, retina and optic nerve",176876,AD,Noonan syndrome,"Lee et al., 1992",,
PUF60,syndromic,"Coloboma of iris, retina and choroid",604819,de novo,Verheij syndrome,"Graziano et al., 2017",,
RAB3GAP1,syndromic,"Microphthalmia, anophthalmia, coloboma of iris, choroid, retina, optic nerve",602536,AR,Warburg micro syndrome 1,"Aligianis et al., 2005",,
RERE,syndromic,Coloboma,605226,de novo,"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart","Fregeau et al., 2016",,
SALL1,syndromic,Coloboma of retina and choroid,602218,AD,Townes-Brocks syndrome,"Botzenhart et al., 2005",,
SALL4,syndromic,"Microphthalmia, coloboma of iris, choroid and optic nerve",607343,AD,Duane-radial ray syndrome (Okihiro syndrome; acroreno-ocular syndrome),"Borozdin et al., 2004",,
SCLT1,syndromic,Retinochoroideal lacunae of colobomatous,611399,XL,Orofaciodigital syndrome IX,"Gurrieri et al., 1992",,
SEMA3E,syndromic,"Coloboma of iris, retina and optic nerve",608166,AD,CHARGE syndrome,"Lalani et al., 2004",,
SIX3,syndromic,"Microphthalmia, coloboma of iris, retina, choroid and macula",603714,AD,"Holoprosencephaly2, Schizencephaly","Wallis et al., 1999",,
SMOC1,syndromic,"Microphthalmia, Coloboma of retina and limb anomalies",608488,AR,limb anomalies,"Abouzeid et al., 2011;ÊOkada et al., 2011",,
SMO,syndromic,"Microphthalmia, coloboma of iris",601500,AD,Curry-Jones syndrome,"Twigg et al., 2016",,
SOX2,syndromic,"Anophthalmia, microphthalmia, coloboma of iris, retina and choroid",184429,AD,Optic nerve hypoplasia and abnormalities of the central nervous system,"Fantes et al., 2003;ÊRagge et al., 2005b",,
SOX3,syndromic,"Microphthalmia, Coloboma",313430,XL (germline mosaicism),Panhypopituitarism Mental retardation,"Jelsig et al., 2018",,
SPINT2,syndromic,Coloboma of optic nerve,605124,AR,Congenital sodium diarrhea,"Hirabayashi et al., 2018",,
SRD5A3,syndromic,Coloboma of iris,611715,AR,"Congenital disorder of glycosylation, Kahrizi Syndrome","Cantagrel et al., 2010",,
TCOF1,syndromic,"Coloboma of iris, choroid, optic nerve and eye lid",606847,AD,,Treacher Collins Syndrome Collaborative Group (1996),,
TFAP2A,syndromic,"Microphthalmia, coloboma of iris, choroid and optic nerve",107580,AD,Branchio oculofacial syndrome,"Milunsky et al., 2008",,
TGDS,syndromic,Coloboma of iris,616146,XL recessive,Catel-Manzke syndrome,"Ehmke et al., 2014",,
TMEM67,syndromic,"Coloboma of iris, retina and choroid",609884,AR,COACH syndrome,"Verloes et al., 1989",,
VAX1,syndromic,Microphthalmia,604294,AR,"small optic nerves, orofacial clefting, agenesis of corpus callosum","Slavotinek et al., 2012",,
WDR11,syndromic,Coloboma of iris.,606417,AD,Hypogonadotropic hypogonadism with or without anosmia,"Kim et al., 2010",,
WASHC5,syndromic,Coloboma of iris and retina,610657,AR,Ritscher-Schinzel syndrome (3C syndrome),"Leonardi et al., 2001",,
YAP1,syndromic,"Coloboma of iris, retina and choroid",606608,AD,"hearing impairment, cleft lip/palate, and/or mental retardation","Williamson et al., 2014",,
ZEB2,syndromic,Coloboma of iris and retina,605802,AD,Mowat-Wilson syndrome,"Wakamatsu et al., 2001",,
