Source	Bioentity ID	HGNC	GO Term	Reference	Evidence Type	Evidence With	Ontology Aspect	Gene Description	Synonyms	Type	Organism	Date	Source2
UniProtKB	F6SB11	CYP27C1	GO:0061897	PMID:21873635	IBA	PANTHER:PTN002801031|UniProtKB:Q4G0S4	F	Cytochrome P450 family 27 subfamily C member 1	UniProtKB:F6SB11|PTN001547832	protein	NCBITaxon:9796	20200206	GO_Central
UniProtKB	F6VD33	PDE6A	GO:0060041	PMID:21873635	IBA	MGI:MGI:97524|PANTHER:PTN002602882	P	Phosphodiesterase	UniProtKB:F6VD33|PTN001346683	protein	NCBITaxon:13616	20180917	GO_Central
UniProtKB	A0A2I3TT45	RP1L1	GO:0060041	PMID:21873635	IBA	MGI:MGI:1341105|PANTHER:PTN000543934|ZFIN:ZDB-GENE-120711-1	P	RP1 like 1	UniProtKB:A0A2I3TT45|PTN004592593	protein	NCBITaxon:9598	20170228	GO_Central
UniProtKB	A0A2I3TPC1	RGR	GO:0008020	PMID:21873635	IBA	FB:FBgn0002940|FB:FBgn0003249|FB:FBgn0003250|FB:FBgn0014019|FB:FBgn0019940|MGI:MGI:1353425|PANTHER:PTN000662115|RGD:621701|UniProtKB:D0E2W5|UniProtKB:F1NEY2|UniProtKB:F1NEY8|UniProtKB:P02699|UniProtKB:Q9UHM6	F	Retinal G protein coupled receptor	UniProtKB:A0A2I3TPC1|PTN002384597	protein	NCBITaxon:9598	20170228	GO_Central
UniProtKB	A0A2I3TPC1	RGR	GO:0007186	PMID:21873635	IBA	MGI:MGI:1353425|MGI:MGI:2662912|PANTHER:PTN000662115|RGD:3573|UniProtKB:P02699|UniProtKB:P08100|UniProtKB:Q9Y2T5|ZFIN:ZDB-GENE-030314-2|ZFIN:ZDB-GENE-070111-2|ZFIN:ZDB-GENE-080415-3|ZFIN:ZDB-GENE-110622-1	P	Retinal G protein coupled receptor	UniProtKB:A0A2I3TPC1|PTN002384597	protein	NCBITaxon:9598	20170228	GO_Central
UniProtKB	A0A2I3TPC1	RGR	GO:0001750	PMID:21873635	IBA	MGI:MGI:1097692|MGI:MGI:97914|MGI:MGI:99438|PANTHER:PTN000662150|RGD:3573|RGD:620978|RGD:621033|UniProtKB:F1P3Y2|UniProtKB:P02699|UniProtKB:P08100|UniProtKB:P22328|UniProtKB:P22329|ZFIN:ZDB-GENE-990415-271|ZFIN:ZDB-GENE-990604-40|ZFIN:ZDB-GENE-990604-42	C	Retinal G protein coupled receptor	UniProtKB:A0A2I3TPC1|PTN002384597	protein	NCBITaxon:9598	20170228	GO_Central
UniProtKB	A0A2I3TPC1	RGR	GO:0071482	PMID:21873635	IBA	FB:FBgn0002940|MGI:MGI:1353425|MGI:MGI:2662912|MGI:MGI:97914|PANTHER:PTN000662115|RGD:3573|UniProtKB:D0E2W5|UniProtKB:F1NEY8|UniProtKB:P02699	P	Retinal G protein coupled receptor	UniProtKB:A0A2I3TPC1|PTN002384597	protein	NCBITaxon:9598	20170228	GO_Central
UniProtKB	A0A2I3TPC1	RGR	GO:0007602	PMID:21873635	IBA	FB:FBgn0002940|FB:FBgn0003249|FB:FBgn0003250|FB:FBgn0014019|FB:FBgn0019940|MGI:MGI:1353425|MGI:MGI:2662912|MGI:MGI:97914|PANTHER:PTN000662115|RGD:3573|RGD:621701|UniProtKB:D0E2W5|UniProtKB:F1NEY8|UniProtKB:F1R0P5|UniProtKB:F1RAF0|UniProtKB:P02699|UniProtKB:Q6U736|UniProtKB:Q9UHM6|ZFIN:ZDB-GENE-030616-402|ZFIN:ZDB-GENE-040724-51|ZFIN:ZDB-GENE-061201-30|ZFIN:ZDB-GENE-081105-91|ZFIN:ZDB-GENE-130530-850	P	Retinal G protein coupled receptor	UniProtKB:A0A2I3TPC1|PTN002384597	protein	NCBITaxon:9598	20170228	GO_Central
UniProtKB	A0A2I3TPC1	RGR	GO:0005887	PMID:21873635	IBA	MGI:MGI:1929473|PANTHER:PTN000662115|UniProtKB:P02699	C	Retinal G protein coupled receptor	UniProtKB:A0A2I3TPC1|PTN002384597	protein	NCBITaxon:9598	20170228	GO_Central
UniProtKB	F6XX96	F6XX96	GO:0060041	PMID:21873635	IBA	MGI:MGI:1341105|PANTHER:PTN000543934|ZFIN:ZDB-GENE-120711-1	P	Uncharacterized protein	UniProtKB:F6XX96|PTN000543970	protein	NCBITaxon:9258	20170228	GO_Central
UniProtKB	F6Y7A5	ALDH8A1	GO:0001758	PMID:21873635	IBA	MGI:MGI:2653900|PANTHER:PTN000193362|UniProtKB:Q9H2A2	F	Aldehyde dehydrogenase 8 family member A1	UniProtKB:F6Y7A5|PTN001364887	protein	NCBITaxon:9796	20170228	GO_Central
UniProtKB	E1BIG2	NF2	GO:0046548	PMID:21873635	IBA	PANTHER:PTN002682000|ZFIN:ZDB-GENE-091204-394	P	Neurofibromin 2	UniProtKB:E1BIG2|PTN000369846	protein	NCBITaxon:9913	20200618	GO_Central
UniProtKB	E1BIZ3	UNC119B	GO:0008289	PMID:21873635	IBA	PANTHER:PTN000310586|UniProtKB:A6NIH7|UniProtKB:Q13432	F	Uncharacterized protein	UniProtKB:E1BIZ3|PTN000310632	protein	NCBITaxon:9913	20180412	GO_Central
UniProtKB	E1BIZ3	UNC119B	GO:0007399	PMID:21873635	IBA	FB:FBgn0025549|PANTHER:PTN000986825|ZFIN:ZDB-GENE-030219-130	P	Uncharacterized protein	UniProtKB:E1BIZ3|PTN000310632	protein	NCBITaxon:9913	20180412	GO_Central
UniProtKB	E1BIZ3	UNC119B	GO:0042953	PMID:21873635	IBA	MGI:MGI:1328357|PANTHER:PTN000310586|UniProtKB:A6NIH7|UniProtKB:Q13432	P	Uncharacterized protein	UniProtKB:E1BIZ3|PTN000310632	protein	NCBITaxon:9913	20170228	GO_Central
UniProtKB	E1BIZ3	UNC119B	GO:0005929	PMID:21873635	IBA	PANTHER:PTN000310586|UniProtKB:A6NIH7	C	Uncharacterized protein	UniProtKB:E1BIZ3|PTN000310632	protein	NCBITaxon:9913	20180412	GO_Central
UniProtKB	E1BIZ3	UNC119B	GO:0060271	PMID:21873635	IBA	PANTHER:PTN000310586|UniProtKB:A6NIH7|WB:WBGene00006843|ZFIN:ZDB-GENE-030219-130	P	Uncharacterized protein	UniProtKB:E1BIZ3|PTN000310632	protein	NCBITaxon:9913	20180412	GO_Central
UniProtKB	F6W037	PDE6B	GO:0060041	PMID:21873635	IBA	MGI:MGI:97525|PANTHER:PTN002602875	P	Phosphodiesterase	UniProtKB:F6W037|PTN000142140	protein	NCBITaxon:13616	20180917	GO_Central
UniProtKB	E1BJB4	RPGRIP1L	GO:0046548	PMID:21873635	IBA	PANTHER:PTN002682000|ZFIN:ZDB-GENE-091204-394	P	RPGRIP1 like	UniProtKB:E1BJB4|PTN007636153	protein	NCBITaxon:9913	20200618	GO_Central
UniProtKB	F6V6Q2	CREBRF	GO:0001228	PMID:21873635	IBA	PANTHER:PTN001089862|UniProtKB:Q8IUR6	F	CREB3 regulatory factor	UniProtKB:F6V6Q2|PTN000489303	protein	NCBITaxon:9615	20200504	GO_Central
UniProtKB	F6V6Q2	CREBRF	GO:0045944	PMID:21873635	IBA	PANTHER:PTN001089862|UniProtKB:Q8IUR6	P	CREB3 regulatory factor	UniProtKB:F6V6Q2|PTN000489303	protein	NCBITaxon:9615	20200504	GO_Central
UniProtKB	F6V6Q2	CREBRF	GO:0000977	PMID:21873635	IBA	PANTHER:PTN001089862|UniProtKB:Q8IUR6	F	CREB3 regulatory factor	UniProtKB:F6V6Q2|PTN000489303	protein	NCBITaxon:9615	20200504	GO_Central
UniProtKB	F6V6Q2	CREBRF	GO:0005829	PMID:21873635	IBA	FB:FBgn0039209|PANTHER:PTN001089862	C	CREB3 regulatory factor	UniProtKB:F6V6Q2|PTN000489303	protein	NCBITaxon:9615	20200504	GO_Central
UniProtKB	F6V6Q2	CREBRF	GO:0005654	PMID:21873635	IBA	MGI:MGI:1924378|PANTHER:PTN001089862|UniProtKB:Q8IUR6	C	CREB3 regulatory factor	UniProtKB:F6V6Q2|PTN000489303	protein	NCBITaxon:9615	20200504	GO_Central
UniProtKB	F6V4F1	BCO1	GO:0042574	PMID:21873635	IBA	MGI:MGI:1926923|MGI:MGI:2177469|PANTHER:PTN000057192|UniProtKB:Q9I993	P	Beta-carotene oxygenase 1	UniProtKB:F6V4F1|PTN001315769	protein	NCBITaxon:13616	20180322	GO_Central
UniProtKB	E1BFD4	SDR16C5	GO:0042574	PMID:21873635	IBA	PANTHER:PTN000672245|UniProtKB:Q8N3Y7	P	Short chain dehydrogenase/reductase family 16C member 5	UniProtKB:E1BFD4|PTN007793724	protein	NCBITaxon:9913	20170620	GO_Central
UniProtKB	A0A2I2V1R8	PDE6D	GO:0005737	PMID:21873635	IBA	FB:FBgn0032059|PANTHER:PTN000312113|UniProtKB:O43924	C	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	UniProtKB:A0A2I2V1R8|PTN001770252	protein	NCBITaxon:9685	20200717	GO_Central
UniProtKB	F6VQ31	RDH13	GO:0042574	PMID:21873635	IBA	PANTHER:PTN002534708|UniProtKB:Q8NBN7	P	Retinol dehydrogenase 13	UniProtKB:F6VQ31|PTN001549655	protein	NCBITaxon:9796	20200207	GO_Central
UniProtKB	F6VPF3	F6VPF3	GO:0045494	PMID:21873635	IBA	PANTHER:PTN000506603|UniProtKB:O43490	P	Uncharacterized protein	UniProtKB:F6VPF3|PTN000133037	protein	NCBITaxon:9258	20170420	GO_Central
UniProtKB	F6VPF3	F6VPF3	GO:0060219	PMID:21873635	IBA	MGI:MGI:1100886|PANTHER:PTN000506603|UniProtKB:O43490	P	Uncharacterized protein	UniProtKB:F6VPF3|PTN000133037	protein	NCBITaxon:9258	20170420	GO_Central
UniProtKB	E1BPS0	CREBRF	GO:0005654	PMID:21873635	IBA	MGI:MGI:1924378|PANTHER:PTN001089862|UniProtKB:Q8IUR6	C	CREB3 regulatory factor	UniProtKB:E1BPS0|PTN000489302	protein	NCBITaxon:9913	20200504	GO_Central
UniProtKB	E1BPS0	CREBRF	GO:0045944	PMID:21873635	IBA	PANTHER:PTN001089862|UniProtKB:Q8IUR6	P	CREB3 regulatory factor	UniProtKB:E1BPS0|PTN000489302	protein	NCBITaxon:9913	20200504	GO_Central
UniProtKB	E1BPS0	CREBRF	GO:0005829	PMID:21873635	IBA	FB:FBgn0039209|PANTHER:PTN001089862	C	CREB3 regulatory factor	UniProtKB:E1BPS0|PTN000489302	protein	NCBITaxon:9913	20200504	GO_Central
UniProtKB	E1BPS0	CREBRF	GO:0001228	PMID:21873635	IBA	PANTHER:PTN001089862|UniProtKB:Q8IUR6	F	CREB3 regulatory factor	UniProtKB:E1BPS0|PTN000489302	protein	NCBITaxon:9913	20200504	GO_Central
UniProtKB	E1BPS0	CREBRF	GO:0000977	PMID:21873635	IBA	PANTHER:PTN001089862|UniProtKB:Q8IUR6	F	CREB3 regulatory factor	UniProtKB:E1BPS0|PTN000489302	protein	NCBITaxon:9913	20200504	GO_Central
UniProtKB	F6VW36	SDR16C5	GO:0042574	PMID:21873635	IBA	PANTHER:PTN000672245|UniProtKB:Q8N3Y7	P	Short chain dehydrogenase/reductase family 16C member 5	UniProtKB:F6VW36|PTN001549143	protein	NCBITaxon:9796	20170620	GO_Central
UniProtKB	F6W5I6	SLIT2	GO:0031290	PMID:21873635	IBA	MGI:MGI:1315205|PANTHER:PTN002911659|UniProtKB:O94813	P	Slit guidance ligand 2	UniProtKB:F6W5I6|PTN001556885	protein	NCBITaxon:13616	20200401	GO_Central
UniProtKB	E1B8C7	MDM1	GO:0060041	PMID:21873635	IBA	MGI:MGI:96951|PANTHER:PTN000421092	P	Mdm1 nuclear protein	UniProtKB:E1B8C7|PTN007941989	protein	NCBITaxon:9913	20170228	GO_Central
UniProtKB	G3R695	G3R695	GO:0010842	PMID:21873635	IBA	MGI:MGI:2443847|PANTHER:PTN002236006|UniProtKB:Q8AV57|UniProtKB:Q8AV58	P	Sidekick cell adhesion molecule 2	UniProtKB:G3R695|PTN002675164	protein	NCBITaxon:9595	20180817	GO_Central
UniProtKB	G3R7Q7	G3R7Q7	GO:1902936	PMID:21873635	IBA	MGI:MGI:1354168|PANTHER:PTN000019344|UniProtKB:Q5SYC1|UniProtKB:Q8IUQ0	F	Retinaldehyde binding protein 1	UniProtKB:G3R7Q7|PTN002563573	protein	NCBITaxon:9595	20180223	GO_Central
UniProtKB	A0A2J8QKH2	NRL	GO:0046548	PMID:21873635	IBA	MGI:MGI:102567|PANTHER:PTN000014717	P	NRL isoform 1	UniProtKB:A0A2J8QKH2|PTN000014723	protein	NCBITaxon:9598	20170228	GO_Central
UniProtKB	G3S8G0	G3S8G0	GO:0010842	PMID:21873635	IBA	MGI:MGI:2443847|PANTHER:PTN002236006|UniProtKB:Q8AV57|UniProtKB:Q8AV58	P	Palladin, cytoskeletal associated protein	UniProtKB:G3S8G0|PTN002674934	protein	NCBITaxon:9595	20180817	GO_Central
UniProtKB	G3R9A1	G3R9A1	GO:0060041	PMID:21873635	IBA	MGI:MGI:1341105|PANTHER:PTN000543934|ZFIN:ZDB-GENE-120711-1	P	RP1, axonemal microtubule associated	UniProtKB:G3R9A1|PTN002744436	protein	NCBITaxon:9595	20170228	GO_Central
UniProtKB	G7NR55	BCO1	GO:0042574	PMID:21873635	IBA	MGI:MGI:1926923|MGI:MGI:2177469|PANTHER:PTN000057192|UniProtKB:Q9I993	P	Beta,beta-carotene 15,15'-monooxygenase	UniProtKB:G7NR55|PTN002576106	protein	NCBITaxon:9544	20180322	GO_Central
UniProtKB	G3RCF1	G3RCF1	GO:0005737	PMID:21873635	IBA	FB:FBgn0032059|PANTHER:PTN000312113|UniProtKB:O43924	C	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	UniProtKB:G3RCF1|PTN002659124	protein	NCBITaxon:9595	20200717	GO_Central
UniProtKB	G3R5I0	G3R5I0	GO:0046548	PMID:21873635	IBA	PANTHER:PTN002682000|ZFIN:ZDB-GENE-091204-394	P	RPGR interacting protein 1	UniProtKB:G3R5I0|PTN002682002	protein	NCBITaxon:9595	20200618	GO_Central
UniProtKB	G3RI26	G3RI26	GO:0001758	PMID:21873635	IBA	MGI:MGI:2653900|PANTHER:PTN000193362|UniProtKB:Q9H2A2	F	Aldehyde dehydrogenase 8 family member A1	UniProtKB:G3RI26|PTN002885816	protein	NCBITaxon:9595	20170228	GO_Central
UniProtKB	Q0P5F9	ALDH8A1	GO:0001758	PMID:21873635	IBA	MGI:MGI:2653900|PANTHER:PTN000193362|UniProtKB:Q9H2A2	F	2-aminomuconic semialdehyde dehydrogenase	UniProtKB:Q0P5F9|PTN002464134	protein	NCBITaxon:9913	20170228	GO_Central
UniProtKB	G7N677	LRP6	GO:0060059	PMID:21873635	IBA	MGI:MGI:1298218|PANTHER:PTN000056284	P	Low-density lipoprotein receptor-related protein	UniProtKB:G7N677|PTN000056294	protein	NCBITaxon:9544	20170228	GO_Central
UniProtKB	A0A3S5ZPE7	A0A3S5ZPE7	GO:0060041	PMID:21873635	IBA	MGI:MGI:1341105|PANTHER:PTN000543934|ZFIN:ZDB-GENE-120711-1	P	Uncharacterized protein	UniProtKB:A0A3S5ZPE7|PTN007724209	protein	NCBITaxon:9913	20170228	GO_Central
UniProtKB	A0A287BPI5	PALLD	GO:0010842	PMID:21873635	IBA	MGI:MGI:2443847|PANTHER:PTN002236006|UniProtKB:Q8AV57|UniProtKB:Q8AV58	P	Palladin isoform X4	UniProtKB:A0A287BPI5|PTN002674936	protein	NCBITaxon:9823	20180817	GO_Central
UniProtKB	F7FK36	PDE6B	GO:0060041	PMID:21873635	IBA	MGI:MGI:97525|PANTHER:PTN002602875	P	Phosphodiesterase	UniProtKB:F7FK36|PTN000142133	protein	NCBITaxon:9544	20180917	GO_Central
UniProtKB	F7EJP2	PDE6H	GO:0045745	PMID:21873635	IBA	MGI:MGI:1925850|MGI:MGI:97526|PANTHER:PTN000252232	P	Uncharacterized protein	UniProtKB:F7EJP2|PTN000252194	protein	NCBITaxon:13616	20190221	GO_Central
UniProtKB	F7EJP2	PDE6H	GO:0042622	PMID:21873635	IBA	PANTHER:PTN000252232|UniProtKB:P04972	C	Uncharacterized protein	UniProtKB:F7EJP2|PTN000252194	protein	NCBITaxon:13616	20190221	GO_Central
UniProtKB	F7EJP2	PDE6H	GO:0000187	PMID:21873635	IBA	MGI:MGI:1925850|MGI:MGI:97526|PANTHER:PTN000252232	P	Uncharacterized protein	UniProtKB:F7EJP2|PTN000252194	protein	NCBITaxon:13616	20190221	GO_Central
UniProtKB	F7EJP2	PDE6H	GO:0045742	PMID:21873635	IBA	MGI:MGI:1925850|MGI:MGI:97526|PANTHER:PTN000252232	P	Uncharacterized protein	UniProtKB:F7EJP2|PTN000252194	protein	NCBITaxon:13616	20190221	GO_Central
UniProtKB	F7F2K2	FZD4	GO:0061299	PMID:21873635	IBA	MGI:MGI:108520|PANTHER:PTN002601720|UniProtKB:Q9ULV1	P	Frizzled class receptor 4	UniProtKB:F7F2K2|PTN000139492	protein	NCBITaxon:9258	20180323	GO_Central
UniProtKB	F7ES12	PROM1	GO:0060219	PMID:21873635	IBA	MGI:MGI:1100886|PANTHER:PTN000506603|UniProtKB:O43490	P	Uncharacterized protein	UniProtKB:F7ES12|PTN001477482	protein	NCBITaxon:13616	20170420	GO_Central
UniProtKB	F7ES12	PROM1	GO:0045494	PMID:21873635	IBA	PANTHER:PTN000506603|UniProtKB:O43490	P	Uncharacterized protein	UniProtKB:F7ES12|PTN001477482	protein	NCBITaxon:13616	20170420	GO_Central
UniProtKB	F1S8J2	RPGRIP1	GO:0046548	PMID:21873635	IBA	PANTHER:PTN002682000|ZFIN:ZDB-GENE-091204-394	P	Uncharacterized protein	UniProtKB:F1S8J2|PTN001424607	protein	NCBITaxon:9823	20200618	GO_Central
UniProtKB	I3LRS5	ALDH1A1	GO:0018479	PMID:21873635	IBA	PANTHER:PTN002619026|RGD:2087|RGD:620252	F	Retinal dehydrogenase 1	UniProtKB:I3LRS5|PTN001364753	protein	NCBITaxon:9823	20200316	GO_Central
UniProtKB	I3LRS5	ALDH1A1	GO:0004029	PMID:21873635	IBA	FB:FBgn0012036|MGI:MGI:1861722|PANTHER:PTN000192421|RGD:2087|RGD:620252|RGD:68409|RGD:69219|SGD:S000000875|SGD:S000005901|UniProtKB:P00352|UniProtKB:P05091|UniProtKB:P08157|UniProtKB:P17445|UniProtKB:P48644|UniProtKB:P49189	F	Retinal dehydrogenase 1	UniProtKB:I3LRS5|PTN001364753	protein	NCBITaxon:9823	20170228	GO_Central
UniProtKB	F1SH67	MDM1	GO:0060041	PMID:21873635	IBA	MGI:MGI:96951|PANTHER:PTN000421092	P	Uncharacterized protein	UniProtKB:F1SH67|PTN001593589	protein	NCBITaxon:9823	20170228	GO_Central
UniProtKB	F7HFU4	USH1C	GO:0046549	PMID:21873635	IBA	PANTHER:PTN002750520|ZFIN:ZDB-GENE-060312-41	P	Uncharacterized protein	UniProtKB:F7HFU4|PTN000563309	protein	NCBITaxon:9544	20200325	GO_Central
UniProtKB	F7FFV4	SDK2	GO:0010842	PMID:21873635	IBA	MGI:MGI:2443847|PANTHER:PTN002236006|UniProtKB:Q8AV57|UniProtKB:Q8AV58	P	Sidekick cell adhesion molecule 2	UniProtKB:F7FFV4|PTN000051345	protein	NCBITaxon:13616	20180817	GO_Central
UniProtKB	F7FQJ8	CYP27C1	GO:0061897	PMID:21873635	IBA	PANTHER:PTN002801031|UniProtKB:Q4G0S4	F	Uncharacterized protein	UniProtKB:F7FQJ8|PTN001547833	protein	NCBITaxon:13616	20200206	GO_Central
UniProtKB	F7FCK5	SDR16C5	GO:0042574	PMID:21873635	IBA	PANTHER:PTN000672245|UniProtKB:Q8N3Y7	P	Uncharacterized protein	UniProtKB:F7FCK5|PTN000672259	protein	NCBITaxon:13616	20170620	GO_Central
UniProtKB	H2QJL5	PDE6D	GO:0005737	PMID:21873635	IBA	FB:FBgn0032059|PANTHER:PTN000312113|UniProtKB:O43924	C	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	UniProtKB:H2QJL5|PTN000312127	protein	NCBITaxon:9598	20200717	GO_Central
UniProtKB	H2QDS3	SDK2	GO:0010842	PMID:21873635	IBA	MGI:MGI:2443847|PANTHER:PTN002236006|UniProtKB:Q8AV57|UniProtKB:Q8AV58	P	Sidekick cell adhesion molecule 2	UniProtKB:H2QDS3|PTN000051339	protein	NCBITaxon:9598	20180817	GO_Central
UniProtKB	H2Q718	UNC119B	GO:0007399	PMID:21873635	IBA	FB:FBgn0025549|PANTHER:PTN000986825|ZFIN:ZDB-GENE-030219-130	P	UNC119B isoform 1	UniProtKB:H2Q718|PTN000310627	protein	NCBITaxon:9598	20180412	GO_Central
UniProtKB	H2Q718	UNC119B	GO:0005929	PMID:21873635	IBA	PANTHER:PTN000310586|UniProtKB:A6NIH7	C	UNC119B isoform 1	UniProtKB:H2Q718|PTN000310627	protein	NCBITaxon:9598	20180412	GO_Central
UniProtKB	H2Q718	UNC119B	GO:0042953	PMID:21873635	IBA	MGI:MGI:1328357|PANTHER:PTN000310586|UniProtKB:A6NIH7|UniProtKB:Q13432	P	UNC119B isoform 1	UniProtKB:H2Q718|PTN000310627	protein	NCBITaxon:9598	20170228	GO_Central
UniProtKB	H2Q718	UNC119B	GO:0008289	PMID:21873635	IBA	PANTHER:PTN000310586|UniProtKB:A6NIH7|UniProtKB:Q13432	F	UNC119B isoform 1	UniProtKB:H2Q718|PTN000310627	protein	NCBITaxon:9598	20180412	GO_Central
UniProtKB	H2Q718	UNC119B	GO:0060271	PMID:21873635	IBA	PANTHER:PTN000310586|UniProtKB:A6NIH7|WB:WBGene00006843|ZFIN:ZDB-GENE-030219-130	P	UNC119B isoform 1	UniProtKB:H2Q718|PTN000310627	protein	NCBITaxon:9598	20180412	GO_Central
UniProtKB	H2Q5J0	PDE6H	GO:0042622	PMID:21873635	IBA	PANTHER:PTN000252232|UniProtKB:P04972	C	PDE6H isoform 1	UniProtKB:H2Q5J0|PTN000252186	protein	NCBITaxon:9598	20190221	GO_Central
UniProtKB	H2Q5J0	PDE6H	GO:0045742	PMID:21873635	IBA	MGI:MGI:1925850|MGI:MGI:97526|PANTHER:PTN000252232	P	PDE6H isoform 1	UniProtKB:H2Q5J0|PTN000252186	protein	NCBITaxon:9598	20190221	GO_Central
UniProtKB	H2Q5J0	PDE6H	GO:0000187	PMID:21873635	IBA	MGI:MGI:1925850|MGI:MGI:97526|PANTHER:PTN000252232	P	PDE6H isoform 1	UniProtKB:H2Q5J0|PTN000252186	protein	NCBITaxon:9598	20190221	GO_Central
UniProtKB	H2Q5J0	PDE6H	GO:0045745	PMID:21873635	IBA	MGI:MGI:1925850|MGI:MGI:97526|PANTHER:PTN000252232	P	PDE6H isoform 1	UniProtKB:H2Q5J0|PTN000252186	protein	NCBITaxon:9598	20190221	GO_Central
UniProtKB	H2Q5G9	LRP6	GO:0060059	PMID:21873635	IBA	MGI:MGI:1298218|PANTHER:PTN000056284	P	Low-density lipoprotein receptor-related protein	UniProtKB:H2Q5G9|PTN000056293	protein	NCBITaxon:9598	20170228	GO_Central
UniProtKB	Q95142	PDE6D	GO:0005737	PMID:21873635	IBA	FB:FBgn0032059|PANTHER:PTN000312113|UniProtKB:O43924	C	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	UniProtKB:Q95142|PTN007598681	protein	NCBITaxon:9913	20200717	GO_Central
UniProtKB	H2QH50	RDH13	GO:0042574	PMID:21873635	IBA	PANTHER:PTN002534708|UniProtKB:Q8NBN7	P	RDH13 isoform 15	UniProtKB:H2QH50|PTN000673143	protein	NCBITaxon:9598	20200207	GO_Central
UniProtKB	H2Q8L4	VSX2	GO:0061074	PMID:21873635	IBA	PANTHER:PTN000676430|ZFIN:ZDB-GENE-001222-1	P	Visual system homeobox 2	UniProtKB:H2Q8L4|PTN000676441	protein	NCBITaxon:9598	20200220	GO_Central
UniProtKB	H2Q9D0	SLC28A2	GO:0001895	PMID:21873635	IBA	PANTHER:PTN000063492|RGD:61840	P	Sodium/nucleoside cotransporter	UniProtKB:H2Q9D0|PTN000063499	protein	NCBITaxon:9598	20200312	GO_Central
UniProtKB	H2QB37	RPGRIP1L	GO:0046548	PMID:21873635	IBA	PANTHER:PTN002682000|ZFIN:ZDB-GENE-091204-394	P	RPGRIP1 like	UniProtKB:H2QB37|PTN000369840	protein	NCBITaxon:9598	20200618	GO_Central
UniProtKB	A0A3Q2ID81	PDE6B	GO:0060041	PMID:21873635	IBA	MGI:MGI:97525|PANTHER:PTN002602875	P	Phosphodiesterase	UniProtKB:A0A3Q2ID81|PTN001346685	protein	NCBITaxon:9796	20180917	GO_Central
